name_last,name_first,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs
Nipper,Al,119805.0,nippa001,nippeal01,nipper001alb,1009602
Magee,Bill,118137.0,mageb101,mageebi01,magee-001wil,1007963
Herring,Herb,115849.0,herrh101,herrihe01,herrin001her,1005728
Gooch,Lee,114941.0,goocl101,goochle01,gooch-001lee,1004849
Sipp,Tony,448609.0,sippt001,sippto01,sipp--001ton,8280
Valent,Eric,346858.0,valee002,valener01,valent001eri,1629
Brashear,Kitty,111399.0,brask101,brashki01,brashe001nor,1001361
Conlon,Jocko,112566.0,conlj101,conlojo01,conlon001art,1002509
Long,Jeoff,117893.0,longj101,longje01,long--001jeo,1007732
Miley,Mike,119053.0,milem101,mileymi01,miley-001mic,1008864
Mails,Duster,118173.0,mailw101,mailsdu01,mails-001joh,1007998
Snelling,Chris,421684.0,snelc001,snellch02,snelli001chr,1480
Creek,Doug,150034.0,creed001,creekdo01,creek-001pau,1202
Johnson,Randy,116617.0,johnr101,johnsra03,johnso006ran,1006494
Mitchell,John,119193.0,mitcj001,mitchjo02,mitche011joh,1009003
Repko,Jason,434705.0,repkj001,repkoja01,repko-001jas,2628
Durrington,Trent,227495.0,durrt001,durritr01,durrin001tre,1805
Wood,Joe,124538.0,woodj101,woodjo03,wood--004jos,1014225
Moskos,Daniel,446290.0,moskd001,moskoda01,moskos001dan,2858
Quinn,Tom,120848.0,quint101,quinnto01,quinn-001tom,1010612
Mitterling,Ralph,119205.0,mittr101,mittera01,mitter001ral,1009013
Sherling,Ed,122134.0,shere101,sherled01,sherli002edw,1011875
Taylor,Graham,501869.0,taylg001,taylogr01,taylor001gra,3719
Vogelsong,Ryan,285064.0,voger001,vogelry01,vogels001rya,1011
Kepshire,Kurt,117006.0,kepsk001,kepshku01,kepshi001kur,1006859
Spears,Nate,460621.0,spean001,spearna01,spears001nat,6026
Durbin,Caleb,702332.0,durbc002,durbica01,durbin000cal,nan
Colina,Edwar,666674.0,colie001,colined01,colina002edw,20589
Sadler,Donnie,132620.0,sadld001,sadledo01,sadler001don,627
Montalvo,Rafael,119257.0,montr001,montara01,montal001raf,1009061
Yankowski,George,124645.0,yankg101,yankoge01,yankow001geo,1014320
Brown,Ray,506627.0,browr103,brownra99,brown-003ray,nan
Schneider,Pete,121848.0,schnp101,schnepe01,schnei001pet,1011597
Gómez,Roberto,596816.0,gomer002,gomezro01,gomez-002rob,12963
Smith,Pop,122363.0,smitp101,smithpo01,smith-001pop,1012193
Werts,Johnny,124100.0,wertj101,wertsjo01,werts-001joh,1013792
Klinger,Joe,117162.0,klinj102,klingjo02,klinge001jos,1007009
Cockman,Jim,112438.0,cockj101,cockmji01,cockma001jam,1002385
Simpson,,817255.0,simpu101,simps02,simpso019---,nan
Holly,Ed,116091.0,holle102,hollyed01,holly-002edw,1005967
Maglie,Sal,118140.0,magls101,maglisa01,maglie001sal,1007968
Bando,Chris,110525.0,bandc001,bandoch01,bando-001chr,1000504
Phillips,Red,120515.0,philr101,phillre01,philli001cla,1010297
Granillo,Andre,701552.0,grana001,granian01,granil000and,nan
Smith,Pete,122443.0,smitp001,smithpe02,smith-003pet,1012191
Anderson,Bubbles,820711.0,andeb105,anderbu02,anders000bub,nan
Swigler,Ad,123056.0,swiga101,swiglad01,swigle001ada,1012791
McCallister,Jack,492661.0,mccaj801,mccalja99,mccall001jac,nan
Petricka,Jake,502593.0,petrj001,petrija01,petric001jac,10534
McGann,Ambrose,118683.0,mcgaa101,mcganam01,mcgann001amb,1008500
Hall,Matt,664180.0,hallm002,hallma02,hall--006mat,18076
Von Der Ahe,Chris,,vondc801,vondech99,vonder001chr,nan
Foytack,Paul,114369.0,foytp101,foytapa01,foytac001pau,1004287
Cepeda,Orlando,112157.0,cepeo101,cepedor01,cepeda001orl,1002103
Clarke,William,112365.0,clarb103,clarkbo02,clarke004wil,1002267
Díaz,Edwin,621242.0,diaze006,diazed04,diaz--004edw,14710
Boscán,J. C.,400268.0,boscj001,boscajc01,boscan001jea,2324
O'Rourke,Frank,120053.0,orouf101,o'roufr01,orourk002jam,1009838
Lopez,Nicky,670032.0,lopen001,lopezni01,lopez-000nic,19339
Spencer,Vern,122587.0,spenv101,spencve01,spence001ver,1012332
Coleman,Gilbert,820032.0,coleg102,colemgi01,colema000gil,nan
Wright,,816468.0,,wrigh05,wright076---,nan
Andrews,Wally,110274.0,andrw102,andrewa01,andrew002wal,1000262
Farr,Steve,114017.0,farrs001,farrst01,farr--001ste,1003953
Morrison,Mike,119411.0,morrm101,morrimi01,morris001mik,1009221
Gremminger,Ed,115124.0,greme101,gremmed01,gremmi001lor,1005028
Rayford,Floyd,120958.0,rayff001,rayfofl01,rayfor001flo,1010724
Mejia,Alex,622270.0,mejia002,mejiaal01,mejia-003ale,13877
Dwyer,John,113674.0,dwyej102,dwyerjo01,dwyer-003joh,1003609
McIlree,Vance,118750.0,mcilv101,mcilrva01,mcilre001van,1008566
Higgins,Bob,115912.0,higgb102,higgibo01,higgin002rob,1005787
Lattimore,Bill,117534.0,lattb101,lattibi01,lattim001wil,1007378
Delahanty,Jim,113220.0,delaj103,delahji01,delaha001jam,1003157
Scribner,Troy,644428.0,scrit001,scribtr01,scribn000tro,15570
Haigh,Ed,115312.0,haige101,haighed01,haigh-001ed-,1005207
Pellagrini,Eddie,120361.0,pelle101,pellaed01,pellag001edw,1010133
Hackett,Speedball,819240.0,hacks102,hackesp01,hacket000spe,nan
Lowe,Brandon,664040.0,loweb001,lowebr01,lowe--001bra,18882
Scott,John,121935.0,scotj103,scottji02,scott-011jam,1011685
Rescigno,Xavier,121080.0,rescx101,rescixa01,rescig001xav,1010843
Wright,Al,124590.0,wriga102,wrighal01,wright001alb,1014269
Schmit,Crazy,121840.0,schmc101,schmicr01,schmit001fre,1011578
Kiekhefer,Dean,518883.0,kiekd001,kiekhde01,kiekhe001dea,10529
Weaver,Jim,124005.0,weavj102,weaveji02,weaver001jam,1013700
Senteney,Steve,122003.0,sents101,sentest01,senten001ste,1011748
Fanwell,Harry,114004.0,fanwh101,fanweha01,fanwel001har,1003927
Junis,Jakob,596001.0,junij001,junisja01,junis-000jak,13619
Neris,Héctor,593576.0,nerih001,nerishe01,neris-001hec,11804
Beam,Alex,110726.0,beama101,beamal01,beam--001ale,1000707
Ramos,Wilson,467092.0,ramow001,ramoswi01,ramos-001wil,1433
Reyes,Jo-Jo,457456.0,reyej003,reyesjo03,reyes-015jos,5559
Otto,Glenn,657248.0,ottog001,ottogl01,otto--000gle,21366
Halicki,Ed,115333.0,halie101,haliced01,halick002edw,1005228
Pacheco,Jordan,457574.0,pachj001,pachejo01,pachec002jor,2677
Duncan,Joe,819687.0,duncj102,duncajo01,duncan002joe,nan
Satin,Josh,543744.0,satij001,satinjo01,satin-001jos,6788
Zeile,Todd,124755.0,zeilt001,zeileto01,zeile-001tod,457
Schlitzer,Victor,121820.0,schlb101,schlibi01,schlit001vic,1011568
Miller,Justin,502522.0,millj006,milleju02,miller005jus,8580
Chavez,Jesse,445926.0,chavj001,chaveje01,chavez001jes,5448
Howard,Chris,116199.0,howac001,howarch01,howard002chr,1006072
Castleton,Roy,112126.0,castr101,castlro01,castle002roy,1002074
Clark,Bobby,112339.0,clarb002,clarkbo04,clark-003rob,1002269
Derringer,Paul,113285.0,derrp101,derripa01,derrin001sam,1003224
Hayes,Brett,451109.0,hayeb001,hayesbr01,hayes-001bre,4293
Pearce,Josh,407870.0,pearj001,pearcjo01,pearce001jos,1175
Goodman,Hunter,696100.0,goodh001,goodmhu01,goodma000hun,29715
Lemke,Mark,117668.0,lemkm001,lemkema01,lemke-001mar,1007516
Gardner,,819429.0,,gardn03,gardne042---,nan
Harrison,Rit,115545.0,harrr101,harriri01,harris001rit,1005429
Merullo,Matt,118985.0,merum001,merulma01,merull001mat,1008797
Ketchum,Fred,117029.0,ketcf101,ketchfr01,ketchu001fre,1006881
Kurosaki,Ryan,117368.0,kuror101,kurosry01,kurosa001rya,1007214
Taylor,Bob,817020.0,taylb109,taylobo02,taylor002bob,nan
Rozek,Dick,121522.0,rozed101,rozekdi01,rozek-001ric,1011272
Corridon,Frank,112703.0,corrf101,corrifr01,corrid001fra,1002640
Niland,Tom,119800.0,nilat101,nilanto01,niland001tom,1009597
Healy,Egyptian,115663.0,heale101,healyjo01,healy-001egy,1005547
Carr,Charlie,112027.0,carrc106,carrch01,carr--001cha,1001985
Longley,Red,818445.0,longr102,longlre01,longle000ray,nan
Reid,Hugh,120992.0,reedh101,reedhu01,reid--001hug,1010767
Giolito,Lucas,608337.0,gioll001,giolilu01,giolit000luc,15474
Shaughnessy,Shag,122069.0,shaus101,shaugsh01,shaugh001fra,1011812
Olivares,Edward,658668.0,olive001,olivaed02,olivar002edw,19698
Brazill,Frank,111408.0,brazf101,brazifr01,brazil001fra,1001370
Brill,Frank,111470.0,brilf101,brillfr01,brill-001fra,1001433
Doheny,Ed,113420.0,dohee101,dohened01,doheny001edw,1003356
Bennett,Shayne,110875.0,benns001,bennesh01,bennet001sha,1000847
Gerken,George,114717.0,gerkg101,gerkege01,gerken001geo,1004633
Freeman,Cody,683227.0,freec003,freemco01,freema000cod,nan
Dailey,John,112994.0,dailj101,dailejo01,dailey001joh,1002929
Locastro,Tim,641796.0,locat001,locasti01,locast000tim,15124
Barkett,Andy,406723.0,barka001,barkean01,barket001and,1000544
Zimmermann,Jordan,519455.0,zimmj003,zimmejo02,zimmer002jor,4505
Sanders,Roy,121675.0,sandr101,sandero02,sander003roy,1011421
Beasley,Jeremy,676886.0,beasj001,beaslje01,beasle001jer,20205
Cantwell,Tom,111967.0,cantt101,cantwto01,cantwe001tho,1001923
Mills,Jack,119141.0,millj107,millsja01,mills-001abb,1008958
Ford,Harry,695670.0,fordh001,fordha01,ford--003har,nan
Lake,Eddie,117415.0,lakee101,lakeed01,lake--001edw,1007260
Bird,Kyle,613317.0,birdk001,birdky01,bird--000kyl,16618
Hartman,Garrell,819135.0,hartg104,hartmga01,hartma000gar,nan
Whiteley,Guerdon,124205.0,whitg102,whitegu01,whitel001gue,1013876
Makosky,Frank,118182.0,makof101,makosfr01,makosk001fra,1008007
Baptist,Travis,136270.0,baptt001,baptitr01,baptis001tra,1000521
Brown,Elmer,820341.0,browe105,brownel02,brown-003elm,nan
MacWhorter,Keith,118106.0,macwk101,macwhke01,macwho001kei,1007937
Herrera,Yoslán,506648.0,herry001,herreyo01,herrer001yos,7759
Kerr,John,117017.0,kerrj102,kerrjo01,kerr--001joh,1006874
Clark,Ed,112321.0,clare101,clarked01,clark-002ed-,1002279
Heaton,Neal,115683.0,heatn001,heatone01,heaton001nea,1005568
Egbert,Jack,455090.0,egbej001,egberja01,egbert001joh,7487
Reid,Billy,121028.0,reidb102,reidbi01,reid--001bil,1010792
Nevin,Phil,119732.0,nevip001,nevinph01,nevin-001phi,1049
White,Jack,124177.0,whitj106,whiteja02,white-008joh,1013879
