IDfg,Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
33322,2025,Matt Shaw,CHC,3B,124,114,1010.0,80,214,7,4,3,17,17,0,1,,,,,,0.977,,,0.0,,1,11.0,12,223.0,167.0,0.749,42.0,,,,,,,,,,,1.5,,,,,,,,,,,,,0,,,,-1.0,-1.0
18036,2025,Jake Cronenworth,SDP,2B,118,111,970.1,166,221,10,6,3,53,14,39,3,,,,,,0.975,,,-1.0,,1,-8.0,-8,188.0,141.0,0.75,41.0,,,,,,,,,,,1.2,,,,,,,,,,,,,0,,,,-1.0,-1.0
21711,2025,Oneil Cruz,PIT,CF,125,120,1061.1,302,6,11,9,2,0,2,0,0,,,,,,0.966,,,,1.0,-4,-11.0,-14,240.0,221.0,0.921,81.0,,,,,,,,,,,1.2,,,,,,,,,,,,,0,,,,0.0,0.0
21618,2025,Alec Bohm,PHI,3B,108,108,942.2,58,207,5,2,3,17,17,0,0,,,,,,0.981,,,-2.0,,-2,3.0,-3,221.0,169.0,0.765,35.0,,,,,,,,,,,1.0,,,,,,,,,,,,,0,,,,-2.0,-1.0
22186,2025,Brice Turang,MIL,2B,153,150,1320.2,255,343,9,4,5,76,28,50,5,,,,,,0.985,,,0.0,,1,6.0,7,282.0,215.0,0.762,74.0,,,,,,,,,,,0.8,,,,,,,,,,,,,0,,,,-2.0,-2.0
12552,2025,Eugenio Suarez,- - -,3B,154,152,1347.2,91,246,16,8,8,23,24,1,0,,,,,,0.955,,,0.0,,1,-7.0,-6,279.0,192.0,0.688,46.0,,,,,,,,,,,0.5,,,,,,,,,,,,,0,,,,-3.0,-3.0
27647,2025,Anthony Volpe,NYY,SS,153,147,1303.2,171,326,19,6,13,58,34,22,4,,,,,,0.963,,,-3.0,,-1,6.0,2,269.0,215.0,0.799,86.0,,,,,,,,,,,0.3,,,,,,,,,,,,,0,,,,-7.0,-5.0
28163,2025,Junior Caminero,TBR,3B,148,146,1257.1,82,225,18,14,4,25,25,0,2,,,,,,0.945,,,1.0,,-2,-4.0,-5,241.0,172.0,0.714,46.0,,,,,,,,,,,0.2,,,,,,,,,,,,,0,,,,-3.0,-3.0
17982,2025,Ty France,- - -,1B,124,108,976.2,755,74,3,3,0,45,5,0,46,11.0,,,,,0.996,,,0.0,,1,8.0,9,146.0,114.0,0.781,21.0,,,,,,,,,,,-0.1,,,,,,,,,,,,,0,,,,10.0,7.0
14854,2025,Mike Yastrzemski,- - -,RF,133,114,1013.2,216,11,1,1,0,0,0,0,0,,,,,,0.996,,,,5.0,0,2.0,7,161.0,148.0,0.919,68.0,,,,,,,,,,,-0.1,,,,,,,,,,,,,0,,,,-2.0,-2.0
14161,2025,Byron Buxton,MIN,CF,118,118,973.0,284,2,2,2,0,0,0,0,0,,,,,,0.993,,,,-4.0,0,-1.0,-5,225.0,213.0,0.947,71.0,,,,,,,,,,,-0.5,,,,,,,,,,,,,0,,,,3.0,2.0
16556,2025,Ozzie Albies,ATL,2B,157,157,1387.0,205,368,2,2,0,58,27,33,5,,,,,,0.997,,,-1.0,,1,-3.0,-3,320.0,254.0,0.794,82.0,,,,,,,,,,,-1.0,,,,,,,,,,,,,0,,,,-4.0,-3.0
19287,2025,Adolis Garcia,TEX,RF,128,127,1124.0,268,6,2,1,1,0,1,0,0,,,,,,0.993,,,,4.0,0,12.0,16,186.0,172.0,0.925,97.0,,,,,,,,,,,-1.4,,,,,,,,,,,,,0,,,,1.0,1.0
16997,2025,Gleyber Torres,DET,2B,134,133,1146.1,197,310,5,5,0,71,27,44,4,,,,,,0.99,,,0.0,,-2,-2.0,-4,281.0,201.0,0.715,62.0,,,,,,,,,,,-1.5,,,,,,,,,,,,,0,,,,-4.0,-3.0
12564,2025,Trevor Story,BOS,SS,156,155,1371.1,219,397,19,8,11,83,40,42,8,,,,,,0.97,,,-2.0,,1,-6.0,-7,323.0,236.0,0.731,110.0,,,,,,,,,,,-1.6,,,,,,,,,,,,,0,,,,-9.0,-7.0
31347,2025,Zach Neto,LAA,SS,125,122,1078.1,175,329,11,6,5,83,40,43,5,,,,,,0.979,,,5.0,,1,7.0,13,247.0,176.0,0.713,102.0,,,,,,,,,,,-1.6,,,,,,,,,,,,,0,,,,-8.0,-6.0
11493,2025,Manny Machado,SDP,3B,145,145,1252.2,117,230,16,7,9,25,28,3,3,,,,,,0.956,,,0.0,,1,2.0,3,245.0,167.0,0.682,43.0,,,,,,,,,,,-2.0,,,,,,,,,,,,,0,,,,-6.0,-5.0
23792,2025,Alek Thomas,ARI,CF,139,121,1080.1,325,3,3,0,3,0,0,0,0,,,,,,0.991,,,,-1.0,-2,-4.0,-7,254.0,232.0,0.913,93.0,,,,,,,,,,,-2.6,,,,,,,,,,,,,0,,,,0.0,0.0
26323,2025,Spencer Steer,CIN,1B,122,113,1009.2,791,75,2,2,0,63,7,0,64,8.0,,,,,0.998,,,0.0,,0,8.0,8,150.0,123.0,0.82,27.0,,,,,,,,,,,-2.8,,,,,,,,,,,,,0,,,,6.0,4.0
35108,2025,Cam Smith,HOU,RF,132,122,1079.1,250,6,2,1,0,0,0,0,0,,,,,,0.992,,,,2.0,0,10.0,12,169.0,154.0,0.911,97.0,,,,,,,,,,,-2.8,,,,,,,,,,,,,0,,,,1.0,1.0
18345,2025,Kyle Tucker,CHC,RF,115,115,1001.2,253,5,3,1,1,0,0,0,0,,,,,,0.989,,,,-1.0,1,-1.0,-1,189.0,175.0,0.926,78.0,,,,,,,,,,,-3.0,,,,,,,,,,,,,0,,,,-2.0,-2.0
15491,2025,J.P. Crawford,SEA,SS,157,155,1384.2,193,367,13,8,5,76,40,34,6,,,,,,0.977,,,1.0,,0,-4.0,-3,314.0,237.0,0.755,107.0,,,,,,,,,,,-3.0,,,,,,,,,,,,,0,,,,-12.0,-9.0
25768,2025,CJ Abrams,WSN,SS,142,141,1224.1,205,352,22,4,18,67,34,32,8,,,,,,0.962,,,-1.0,,-1,-4.0,-6,303.0,236.0,0.779,84.0,,,,,,,,,,,-3.2,,,,,,,,,,,,,0,,,,-11.0,-8.0
