IDfg,Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
29518,2025,James Wood,WSN,LF,123,123,1067.1,231,5,3,3,0,0,0,0,0,,,,,,0.987,,,,3.0,0,-2.0,1,183.0,166.0,0.907,66.0,,,,,,,,,,,-9.0,,,,,,,,,,,,,0,,,,-7.0,-6.0
19611,2025,Vladimir Guerrero Jr.,TOR,1B,133,130,1126.2,897,69,9,8,1,81,10,1,83,23.0,,,,,0.991,,,0.0,,0,8.0,8,174.0,130.0,0.747,23.0,,,,,,,,,,,-9.9,,,,,,,,,,,,,0,,,,-2.0,-1.0
26319,2025,Michael Busch,CHC,1B,151,131,1185.0,998,84,4,4,0,86,5,0,90,16.0,,,,,0.996,,,0.0,,0,2.0,2,150.0,118.0,0.787,19.0,,,,,,,,,,,-9.9,,,,,,,,,,,,,0,,,,-1.0,-1.0
9218,2025,Paul Goldschmidt,NYY,1B,139,113,1029.0,840,84,5,4,1,66,9,0,71,19.0,,,,,0.995,,,0.0,,2,-3.0,-1,153.0,118.0,0.771,20.0,,,,,,,,,,,-10.0,,,,,,,,,,,,,0,,,,-3.0,-2.0
33189,2025,Nolan Schanuel,LAA,1B,131,129,1131.0,994,60,6,3,3,111,11,0,116,19.0,,,,,0.994,,,0.0,,-1,-5.0,-5,147.0,108.0,0.735,15.0,,,,,,,,,,,-10.1,,,,,,,,,,,,,0,,,,-2.0,-2.0
5361,2025,Freddie Freeman,LAD,1B,146,145,1239.0,1008,91,3,3,0,72,6,0,73,24.0,,,,,0.997,,,0.0,,2,-10.0,-7,171.0,124.0,0.725,16.0,,,,,,,,,,,-10.4,,,,,,,,,,,,,0,,,,-1.0,-1.0
16376,2025,Michael Conforto,LAD,LF,132,122,1010.0,193,5,4,2,2,0,1,0,0,,,,,,0.98,,,,1.0,-1,-5.0,-5,139.0,122.0,0.878,73.0,,,,,,,,,,,-10.8,,,,,,,,,,,,,0,,,,-8.0,-7.0
27465,2025,Spencer Torkelson,DET,1B,145,144,1272.0,1054,100,5,3,2,101,16,0,100,24.0,,,,,0.996,,,0.0,,1,-2.0,0,197.0,160.0,0.812,29.0,,,,,,,,,,,-11.3,,,,,,,,,,,,,0,,,,-2.0,-2.0
19290,2025,Randy Arozarena,SEA,LF,158,158,1408.1,297,5,5,2,3,0,1,0,0,,,,,,0.984,,,,2.0,0,-3.0,-1,205.0,188.0,0.917,109.0,,,,,,,,,,,-11.3,,,,,,,,,,,,,0,,,,-6.0,-6.0
35110,2025,Nick Kurtz,ATH,1B,112,111,970.2,762,40,10,6,3,64,6,0,68,9.0,,,,,0.988,,,0.0,,0,1.0,2,118.0,89.0,0.754,13.0,,,,,,,,,,,-11.6,,,,,,,,,,,,,0,,,,-6.0,-4.0
18568,2025,Luis Arraez,SDP,1B,117,112,993.2,737,62,1,0,1,70,11,1,70,15.0,,,,,0.999,,,1.0,,0,3.0,3,146.0,115.0,0.788,18.0,,,,,,,,,,,-12.0,,,,,,,,,,,,,0,,,,-6.0,-5.0
13066,2025,Teoscar Hernandez,LAD,RF,133,132,1106.0,255,6,2,2,0,0,2,0,0,,,,,,0.992,,,,1.0,0,0.0,1,169.0,154.0,0.911,101.0,,,,,,,,,,,-12.2,,,,,,,,,,,,,0,,,,-9.0,-8.0
19566,2025,Nathaniel Lowe,- - -,1B,146,139,1235.1,1008,73,7,6,1,96,8,0,93,13.0,,,,,0.994,,,0.0,,-3,-1.0,-4,183.0,133.0,0.727,16.0,,,,,,,,,,,-12.7,,,,,,,,,,,,,0,,,,-5.0,-4.0
27676,2025,Vinnie Pasquantino,KCR,1B,126,126,1084.1,965,63,4,2,2,100,10,0,100,15.0,,,,,0.996,,,0.0,,1,-3.0,-2,160.0,123.0,0.769,15.0,,,,,,,,,,,-13.3,,,,,,,,,,,,,0,,,,-7.0,-5.0
22515,2025,Heliot Ramos,SFG,LF,154,153,1332.2,284,5,9,5,4,0,1,0,0,,,,,,0.97,,,,3.0,-5,-4.0,-6,212.0,191.0,0.901,93.0,,,,,,,,,,,-14.8,,,,,,,,,,,,,0,,,,-9.0,-8.0
11737,2025,Nick Castellanos,PHI,RF,143,138,1208.1,243,4,0,0,0,0,2,0,0,,,,,,1.0,,,,-2.0,0,-9.0,-11,184.0,163.0,0.886,80.0,,,,,,,,,,,-15.8,,,,,,,,,,,,,0,,,,-12.0,-11.0
20123,2025,Juan Soto,NYM,RF,157,157,1374.0,249,8,1,1,0,0,1,0,0,,,,,,0.996,,,,0.0,1,-8.0,-7,200.0,184.0,0.92,66.0,,,,,,,,,,,-16.8,,,,,,,,,,,,,0,,,,-12.0,-11.0
19251,2025,Pete Alonso,NYM,1B,160,159,1403.0,1178,124,10,4,5,98,7,0,96,29.0,,,,,0.992,,,-1.0,,2,-10.0,-9,258.0,188.0,0.729,23.0,,,,,,,,,,,-17.5,,,,,,,,,,,,,0,,,,-9.0,-7.0
